graph_id,src_id,dst_id,label,train_mask,val_mask,test_mask
0,231,230,0,True,False,False
0,230,231,0,True,False,False
0,231,21,0,True,False,False
0,21,231,0,True,False,False
0,230,181,0,True,False,False
0,181,230,0,True,False,False
0,230,363,0,True,False,False
0,363,230,0,True,False,False
0,21,181,0,True,False,False
0,181,21,0,True,False,False
0,21,168,0,True,False,False
0,168,21,0,True,False,False
0,181,457,0,True,False,False
0,457,181,0,True,False,False
0,181,379,0,True,False,False
0,379,181,0,True,False,False
0,181,462,0,True,False,False
0,462,181,0,True,False,False
0,181,209,0,True,False,False
0,209,181,0,True,False,False
0,181,49,0,True,False,False
0,49,181,0,True,False,False
0,181,19,0,True,False,False
0,19,181,0,True,False,False
0,168,312,0,True,False,False
0,312,168,0,True,False,False
0,168,49,0,True,False,False
0,49,168,0,True,False,False
0,363,457,0,True,False,False
0,457,363,0,True,False,False
0,363,530,0,True,False,False
0,530,363,0,True,False,False
0,209,159,0,True,False,False
0,159,209,0,True,False,False
0,209,457,0,True,False,False
0,457,209,0,True,False,False
0,209,251,0,True,False,False
0,251,209,0,True,False,False
0,462,251,0,True,False,False
0,251,462,0,True,False,False
0,420,464,0,True,False,False
0,464,420,0,True,False,False
0,200,420,0,True,False,False
0,420,200,0,True,False,False
0,179,420,0,True,False,False
0,420,179,0,True,False,False
0,420,174,0,True,False,False
0,174,420,0,True,False,False
0,358,420,0,True,False,False
0,420,358,0,True,False,False
0,341,335,0,True,False,False
0,335,341,0,True,False,False
0,465,335,0,True,False,False
0,335,465,0,True,False,False
0,59,335,0,True,False,False
0,335,59,0,True,False,False
0,335,426,0,True,False,False
0,426,335,0,True,False,False
0,335,277,0,True,False,False
0,277,335,0,True,False,False
0,335,393,0,True,False,False
0,393,335,0,True,False,False
0,335,510,0,True,False,False
0,510,335,0,True,False,False
0,179,335,0,True,False,False
0,335,179,0,True,False,False
0,226,517,0,True,False,False
0,517,226,0,True,False,False
0,465,226,0,True,False,False
0,226,465,0,True,False,False
0,59,226,0,True,False,False
0,226,59,0,True,False,False
0,226,292,0,True,False,False
0,292,226,0,True,False,False
0,461,226,0,True,False,False
0,226,461,0,True,False,False
0,226,136,0,True,False,False
0,136,226,0,True,False,False
0,226,74,0,True,False,False
0,74,226,0,True,False,False
0,179,226,0,True,False,False
0,226,179,0,True,False,False
0,136,73,0,True,False,False
0,73,136,0,True,False,False
0,465,136,0,True,False,False
0,136,465,0,True,False,False
0,59,136,0,True,False,False
0,136,59,0,True,False,False
0,136,472,0,True,False,False
0,472,136,0,True,False,False
0,136,389,0,True,False,False
0,389,136,0,True,False,False
0,179,136,0,True,False,False
0,136,179,0,True,False,False
0,136,473,0,True,False,False
0,473,136,0,True,False,False
0,159,391,0,True,False,False
0,391,159,0,True,False,False
0,391,413,0,True,False,False
0,413,391,0,True,False,False
0,391,441,0,True,False,False
0,441,391,0,True,False,False
0,180,391,0,True,False,False
0,391,180,0,True,False,False
0,391,507,0,True,False,False
0,507,391,0,True,False,False
0,391,427,0,True,False,False
0,427,391,0,True,False,False
0,391,417,0,True,False,False
0,417,391,0,True,False,False
0,77,391,0,True,False,False
0,391,77,0,True,False,False
0,102,101,0,True,False,False
0,101,102,0,True,False,False
0,465,102,0,True,False,False
0,102,465,0,True,False,False
0,59,102,0,True,False,False
0,102,59,0,True,False,False
0,472,102,0,True,False,False
0,102,472,0,True,False,False
0,102,383,0,True,False,False
0,383,102,0,True,False,False
0,102,246,0,True,False,False
0,246,102,0,True,False,False
0,102,537,0,True,False,False
0,537,102,0,True,False,False
0,179,102,0,True,False,False
0,102,179,0,True,False,False
0,465,550,0,True,False,False
0,550,465,0,True,False,False
0,59,550,0,True,False,False
0,550,59,0,True,False,False
0,550,535,0,True,False,False
0,535,550,0,True,False,False
0,550,351,0,True,False,False
0,351,550,0,True,False,False
0,550,495,0,True,False,False
0,495,550,0,True,False,False
0,550,414,0,True,False,False
0,414,550,0,True,False,False
0,537,550,0,True,False,False
0,550,537,0,True,False,False
0,179,550,0,True,False,False
0,550,179,0,True,False,False
0,351,149,0,True,False,False
0,149,351,0,True,False,False
0,465,351,0,True,False,False
0,351,465,0,True,False,False
0,59,351,0,True,False,False
0,351,59,0,True,False,False
0,351,519,0,True,False,False
0,519,351,0,True,False,False
0,351,536,0,True,False,False
0,536,351,0,True,False,False
0,179,351,0,True,False,False
0,351,179,0,True,False,False
0,351,388,0,True,False,False
0,388,351,0,True,False,False
0,465,537,0,True,False,False
0,537,465,0,True,False,False
0,59,537,0,True,False,False
0,537,59,0,True,False,False
0,537,275,0,True,False,False
0,275,537,0,True,False,False
0,537,112,0,True,False,False
0,112,537,0,True,False,False
0,179,537,0,True,False,False
0,537,179,0,True,False,False
0,537,69,0,True,False,False
0,69,537,0,True,False,False
0,465,149,0,True,False,False
0,149,465,0,True,False,False
0,59,149,0,True,False,False
0,149,59,0,True,False,False
0,149,301,0,True,False,False
0,301,149,0,True,False,False
0,149,268,0,True,False,False
0,268,149,0,True,False,False
0,149,330,0,True,False,False
0,330,149,0,True,False,False
0,149,386,0,True,False,False
0,386,149,0,True,False,False
0,179,149,0,True,False,False
0,149,179,0,True,False,False
0,465,330,0,True,False,False
0,330,465,0,True,False,False
0,59,330,0,True,False,False
0,330,59,0,True,False,False
0,330,157,0,True,False,False
0,157,330,0,True,False,False
0,330,151,0,True,False,False
0,151,330,0,True,False,False
0,330,342,0,True,False,False
0,342,330,0,True,False,False
0,330,387,0,True,False,False
0,387,330,0,True,False,False
0,179,330,0,True,False,False
0,330,179,0,True,False,False
0,465,513,0,True,False,False
0,513,465,0,True,False,False
0,59,513,0,True,False,False
0,513,59,0,True,False,False
0,513,91,0,True,False,False
0,91,513,0,True,False,False
0,60,513,0,True,False,False
0,513,60,0,True,False,False
0,513,45,0,True,False,False
0,45,513,0,True,False,False
0,179,513,0,True,False,False
0,513,179,0,True,False,False
0,513,12,0,True,False,False
0,12,513,0,True,False,False
0,513,114,0,True,False,False
0,114,513,0,True,False,False
0,312,474,0,True,False,False
0,474,312,0,True,False,False
0,312,468,0,True,False,False
0,468,312,0,True,False,False
0,1,417,0,True,False,False
0,417,1,0,True,False,False
0,300,417,0,True,False,False
0,417,300,0,True,False,False
0,417,413,0,True,False,False
0,413,417,0,True,False,False
0,417,463,0,True,False,False
0,463,417,0,True,False,False
0,417,25,0,True,False,False
0,25,417,0,True,False,False
0,417,427,0,True,False,False
0,427,417,0,True,False,False
0,258,417,0,True,False,False
0,417,258,0,True,False,False
0,474,505,0,True,False,False
0,505,474,0,True,False,False
0,505,273,0,True,False,False
0,273,505,0,True,False,False
0,468,505,0,True,False,False
